,연료원,지역세부구분,거래일,기온(°C),습도(%),일조(hr),시간,전력거래량(단위 : MWh)
0,태양광,광주시,2018-01-01,2.2,55.0,0.0,0,0.0
1,태양광,광주시,2018-01-01,1.8,55.0,0.0,1,0.0
2,태양광,광주시,2018-01-01,1.9,58.0,0.0,2,0.0
3,태양광,광주시,2018-01-01,1.2,61.0,0.0,3,0.0
4,태양광,광주시,2018-01-01,-0.1,63.0,0.0,4,0.0
5,태양광,광주시,2018-01-01,-0.5,63.0,0.0,5,0.0
6,태양광,광주시,2018-01-01,-0.7,62.0,0.0,6,0.0
7,태양광,광주시,2018-01-01,-0.3,59.0,0.0,7,0.013176
8,태양광,광주시,2018-01-01,-0.8,65.0,0.0,8,2.012817
9,태양광,광주시,2018-01-01,0.3,62.0,0.8,9,7.760763
10,태양광,광주시,2018-01-01,2.7,52.0,1.0,10,13.137092
11,태양광,광주시,2018-01-01,4.3,43.0,1.0,11,17.701606
12,태양광,광주시,2018-01-01,5.1,40.0,1.0,12,18.854027
13,태양광,광주시,2018-01-01,6.6,37.0,1.0,13,17.789971
14,태양광,광주시,2018-01-01,6.5,37.0,1.0,14,14.819381
15,태양광,광주시,2018-01-01,6.1,36.0,1.0,15,8.887555
16,태양광,광주시,2018-01-01,6.1,35.0,1.0,16,3.200237
17,태양광,광주시,2018-01-01,5.1,38.0,1.0,17,0.180425
18,태양광,광주시,2018-01-01,4.1,42.0,0.1,18,1.19904
19,태양광,광주시,2018-01-01,3.7,43.0,0.0,19,0.42528
20,태양광,광주시,2018-01-01,2.6,48.0,0.0,20,0.42624
21,태양광,광주시,2018-01-01,1.7,53.0,0.0,21,0.31392
22,태양광,광주시,2018-01-01,1.7,54.0,0.0,22,0.0
23,태양광,광주시,2018-01-01,0.6,62.0,0.0,23,0.0
24,태양광,광주시,2018-01-02,0.5,65.0,0.0,0,0.0
25,태양광,광주시,2018-01-02,0.1,65.0,0.0,1,0.0
26,태양광,광주시,2018-01-02,-0.7,72.0,0.0,2,0.0
27,태양광,광주시,2018-01-02,-0.5,72.0,0.0,3,0.0
28,태양광,광주시,2018-01-02,-1.4,77.0,0.0,4,0.0
29,태양광,광주시,2018-01-02,-2.6,83.0,0.0,5,0.0
30,태양광,광주시,2018-01-02,-2.5,83.0,0.0,6,0.0
31,태양광,광주시,2018-01-02,-2.6,84.0,0.0,7,0.009552
32,태양광,광주시,2018-01-02,-2.1,84.0,0.0,8,1.63324
33,태양광,광주시,2018-01-02,-1.0,79.0,0.3,9,6.170665
34,태양광,광주시,2018-01-02,0.2,73.0,1.0,10,10.582074
35,태양광,광주시,2018-01-02,1.8,66.0,1.0,11,13.965046
36,태양광,광주시,2018-01-02,4.3,57.0,1.0,12,14.865763
37,태양광,광주시,2018-01-02,5.7,52.0,0.9,13,9.604844
38,태양광,광주시,2018-01-02,6.5,53.0,0.3,14,5.221721
39,태양광,광주시,2018-01-02,6.8,53.0,0.0,15,3.962827
40,태양광,광주시,2018-01-02,7.4,57.0,0.4,16,0.484098
41,태양광,광주시,2018-01-02,6.8,62.0,0.0,17,0.005112
42,태양광,광주시,2018-01-02,6.4,69.0,0.0,18,1.19904
43,태양광,광주시,2018-01-02,5.8,66.0,0.0,19,1.21632
44,태양광,광주시,2018-01-02,3.9,70.0,0.0,20,0.45984
45,태양광,광주시,2018-01-02,3.3,71.0,0.0,21,0.3264
46,태양광,광주시,2018-01-02,2.5,64.0,0.0,22,0.0
47,태양광,광주시,2018-01-02,1.7,63.0,0.0,23,0.0
48,태양광,광주시,2018-01-03,1.1,52.0,0.0,0,0.0
49,태양광,광주시,2018-01-03,0.6,45.0,0.0,1,0.0
50,태양광,광주시,2018-01-03,0.8,47.0,0.0,2,0.0
51,태양광,광주시,2018-01-03,0.7,52.0,0.0,3,0.0
52,태양광,광주시,2018-01-03,0.0,59.0,0.0,4,0.0
53,태양광,광주시,2018-01-03,-0.3,60.0,0.0,5,0.0
54,태양광,광주시,2018-01-03,-1.0,60.0,0.0,6,0.0
55,태양광,광주시,2018-01-03,-1.5,58.0,0.0,7,0.01044
56,태양광,광주시,2018-01-03,-2.5,58.0,0.0,8,1.916742
57,태양광,광주시,2018-01-03,-1.4,55.0,0.7,9,8.106542
58,태양광,광주시,2018-01-03,0.0,50.0,1.0,10,14.199021
59,태양광,광주시,2018-01-03,0.8,44.0,1.0,11,19.546829
60,태양광,광주시,2018-01-03,2.2,36.0,1.0,12,20.104395
61,태양광,광주시,2018-01-03,2.7,37.0,1.0,13,16.82573
62,태양광,광주시,2018-01-03,3.2,43.0,1.0,14,14.869817
63,태양광,광주시,2018-01-03,3.1,42.0,1.0,15,9.814977
64,태양광,광주시,2018-01-03,3.0,41.0,1.0,16,3.887484
65,태양광,광주시,2018-01-03,1.6,45.0,1.0,17,0.189215
66,태양광,광주시,2018-01-03,0.3,52.0,0.2,18,1.16928
67,태양광,광주시,2018-01-03,-0.5,58.0,0.0,19,1.18656
68,태양광,광주시,2018-01-03,-1.2,60.0,0.0,20,0.46368
69,태양광,광주시,2018-01-03,-1.5,62.0,0.0,21,0.39552
70,태양광,광주시,2018-01-03,-1.4,64.0,0.0,22,0.01056
71,태양광,광주시,2018-01-03,-1.4,66.0,0.0,23,0.0
72,태양광,광주시,2018-01-04,-1.1,62.0,0.0,0,0.0
73,태양광,광주시,2018-01-04,-1.8,61.0,0.0,1,0.0
74,태양광,광주시,2018-01-04,-1.9,63.0,0.0,2,0.0
75,태양광,광주시,2018-01-04,-1.7,63.0,0.0,3,0.0
76,태양광,광주시,2018-01-04,-1.3,63.0,0.0,4,0.0
77,태양광,광주시,2018-01-04,-1.6,64.0,0.0,5,0.0
78,태양광,광주시,2018-01-04,-2.2,66.0,0.0,6,0.0
