©╛╥А©Ь,аЖ©╙╪╪╨н╠╦╨п,╟е╥║юо,╠Б©б(║фC),╫ю╣╣(%),юоа╤(hr),╫ц╟ё,юЭ╥б╟е╥║╥╝(╢эю╖ : MWh)
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,2.2,55,,0,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,1.8,55,,1,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,1.9,58,,2,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,1.2,61,,3,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,-0.1,63,,4,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,-0.5,63,,5,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,-0.7,62,,6,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,-0.3,59,,7,0.013176
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,-0.8,65,0,8,2.012817
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,0.3,62,0.8,9,7.760763
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,2.7,52,1,10,13.137092
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,4.3,43,1,11,17.701606
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,5.1,40,1,12,18.854027
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,6.6,37,1,13,17.789971
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,6.5,37,1,14,14.819381
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,6.1,36,1,15,8.887555
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,6.1,35,1,16,3.200237
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,5.1,38,1,17,0.180425
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,4.1,42,0.1,18,1.19904
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,3.7,43,,19,0.42528
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,2.6,48,,20,0.42624
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,1.7,53,,21,0.31392
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,1.7,54,,22,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-01,0.6,62,,23,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,0.5,65,,0,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,0.1,65,,1,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,-0.7,72,,2,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,-0.5,72,,3,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,-1.4,77,,4,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,-2.6,83,,5,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,-2.5,83,,6,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,-2.6,84,,7,0.009552
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,-2.1,84,0,8,1.63324
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,-1,79,0.3,9,6.170665
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,0.2,73,1,10,10.582074
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,1.8,66,1,11,13.965046
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,4.3,57,1,12,14.865763
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,5.7,52,0.9,13,9.604844
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,6.5,53,0.3,14,5.221721
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,6.8,53,0,15,3.962827
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,7.4,57,0.4,16,0.484098
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,6.8,62,0,17,0.005112
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,6.4,69,0,18,1.19904
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,5.8,66,,19,1.21632
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,3.9,70,,20,0.45984
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,3.3,71,,21,0.3264
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,2.5,64,,22,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-02,1.7,63,,23,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-03,1.1,52,,0,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-03,0.6,45,,1,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-03,0.8,47,,2,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-03,0.7,52,,3,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-03,0,59,,4,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-03,-0.3,60,,5,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-03,-1,60,,6,0
еб╬Г╠╓,╠╓аж╫ц,2018-01-03,-1.5,58,,7,0.01044
еб╬Г╠╓,╠╓аж╫ц,2018-01-03,-2.5,58,0,8,1.916742
еб╬Г╠╓,╠╓аж╫ц,2018-01-03,-1.4,55,0.7,9,8.106542
